Source,Dimension,SWOT,Text,Code,DocSources
Gray Lit,Governance,Strengths,"[Enhanced Service Delivery] AATI enhanced its service delivery by establishing a Service Delivery Pillar in October 2024 to offer customized assistance to ATOs in adopting the ""deliverology"" approach to strategy implementation. (High confidence)",Enhanced Service Delivery,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Clear Mandate Areas] The Ethiopian ATA had four key mandate areas detailed in its founding and amended regulations: analytical studies, implementation of recommended solutions, implementation support, and linkages and coordination. (High confidence)",Clear Mandate Areas,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Ministerial Level Placement] The Sudan Agriculture and Livestock Transformation Agency (ALTA) was designed to be positioned at the same level in the Government as a ministry, reporting to a Board of Directors that meets quarterly. (High confidence)",Ministerial Level Placement,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Weakness,"[Sustainability Risk] National ATAs may overly rely on support from central AATI teams, potentially hindering the development of their own capabilities for sustainable continuity. (High confidence)",Sustainability Risk,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Weakness,"[External Dependency] The sustainability of the central AATI team is linked to the needs of national ATAs, implying an external dependency for its continued existence. (High confidence)",External Dependency,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Weakness,"[Role Delimitation Issues] In Togo, the delineation of roles between the Directorate of Analytics and Directorate of Delivery within the ATA is blurred and unclear, with both teams doing analytical and implementation work. (High confidence)",Role Delimitation Issues,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Weakness,"[Unclear Expense Approvals] In Togo, there is a general lack of clarity on expense approvals between the ATA and MAEDR. (High confidence)",Unclear Expense Approvals,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Weakness,"[Inter-institutional Tensions] The Ethiopian ATA, despite being a standalone institution accountable to a Transformation Council, faced inter-institutional tensions that constrained its ability to provide support and monitor the execution of the agricultural transformation agenda. (High confidence)",Inter-institutional Tensions,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Weakness,"[Limited Authority] Delivery units are primarily advisory bodies with limited authority, deriving influence from political backing and access to decision-makers rather than their own decision-making power. (High confidence)",Limited Authority,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Weakness,[Capacity Gaps] Weaknesses in national delivery infrastructure hinder agricultural transformation efforts. (High confidence),Capacity Gaps,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Weakness,[Decision Misalignment] Government effectiveness is impacted by misalignment and a lack of capacity and transformational leadership. (High confidence),Stakeholder Misalignment,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Weakness,"[Ministerial Resistance] In Ghana, resistance within the Ministry of Agriculture to establishing a Delivery Unit posed a considerable obstacle to its success. (High confidence)",Ministerial Resistance,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Weakness,"[Reporting Structure Complexity] Legal advice indicated that ATO personnel hired by AATI (with IFAD contracts) must report to AATI and provide services to the government, rather than reporting directly to the government, which can complicate ownership and integration. (High confidence)",Reporting Structure Shift,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
